USDA Class;Name;Soil Type;% Sand;% Clay;%Loam;Soil;Storage capacity;Tension storage(%);Tension storage(mm);Percolation(mm/h);Max Infiltration(mm/h);Bulk Density (kg/m3);Field Capacity (cm3/cm3);Wilting Point (cm3/cm3);Porosity (fraction);Saturated Hydraulic Conductivity (mm/d);Slope of Retention Curve (in log space) b**;Bubbling pressure;Residual saturacion;Infilt
1;clay;c;24.71;52.46;22.83;D;50;90;45;0.125;0.655;1390;0.36;0.27;0.47;763.2;12.28;85.6;0.0009;0.35
2;silt clay;sic;8.18;44.58;47.24;D;50;90;45;0.125;0.655;1350;0.37;0.25;0.49;708;9.76;76.54;0.00056;0.3
3;clay;c;4.5;8.3;87.2;A;150;70;105;0.375;9.5;1280;0.28;0.08;0.52;2061.6;3.05;50.87;0.00015;0.25
4;silty clay loam;sicl;9.04;33.05;57.91;C;70;85;59.5;0.375;2.55;1380;0.36;0.21;0.48;1096.8;7.48;70.33;0.0004;0.31
5;clay loam;cl;30.08;33.46;36.46;D;50;90;45;0.125;0.655;1430;0.34;0.21;0.46;424.8;8.02;56.43;0.00075;0.3
7;silt loam;sil;19.28;17.11;63.61;B;85;80;68;0.166666667;5.7;1420;0.32;0.12;0.46;950.4;3.79;50.87;0.00015;0.2
8;sandy clay;sc;50.32;39.3;10.38;D;50;90;45;0.125;0.655;1570;0.31;0.23;0.41;285.6;13;79.48;0.00109;0.2
9;loam;l;41;20.69;38.31;B;85;80;68;0.166666667;5.7;1490;0.29;0.14;0.43;472.8;5.3;40.12;0.00027;0.2
10;sandy clay loam;scl;60.97;26.33;12.7;C;70;85;59.5;0.375;2.55;1600;0.27;0.17;0.39;576;8.66;59.41;0.00068;0.15
11;sandy loam;sl;69.28;12.48;18.24;A;150;70;105;0.375;9.5;1570;0.21;0.09;0.4;1257.6;4.84;30.2;0.00041;0.15
12;loamy sand;ls;85.23;6.53;8.24;A;150;70;105;0.375;9.5;1520;0.15;0.06;0.42;2608.8;3.99;56.43;0.00075;0.1
13;sand;s;94.83;2.27;2.9;A;150;70;105;0.5;9.5;1490;0.08;0.03;0.43;9218.4;4.1;15.98;0.0002;0.1
