experiment,variable,model
historical,precipitation,access_cm2
historical,precipitation,access_esm1_5
historical,precipitation,awi_esm_1_1_lr
historical,precipitation,bcc_csm2_mr
historical,precipitation,bcc_esm1
historical,precipitation,canesm5
historical,precipitation,cesm2
historical,precipitation,cesm2_fv2
historical,precipitation,cesm2_waccm
historical,precipitation,cesm2_waccm_fv2
historical,precipitation,cmcc_cm2_hr4
historical,precipitation,cmcc_cm2_sr5
historical,precipitation,cmcc_esm2
historical,precipitation,cnrm_cm6_1
historical,precipitation,cnrm_cm6_1_hr
historical,precipitation,cnrm_esm2_1
historical,precipitation,ec_earth3_aerchem
historical,precipitation,ec_earth3_cc
historical,precipitation,ec_earth3_veg_lr
historical,precipitation,fgoals_f3_l
historical,precipitation,fgoals_g3
historical,precipitation,gfdl_esm4
historical,precipitation,hadgem3_gc31_ll
historical,precipitation,hadgem3_gc31_mm
historical,precipitation,iitm_esm
historical,precipitation,inm_cm4_8
historical,precipitation,inm_cm5_0
historical,precipitation,ipsl_cm5a2_inca
historical,precipitation,ipsl_cm6a_lr
historical,precipitation,kace_1_0_g
historical,precipitation,kiost_esm
historical,precipitation,miroc6
historical,precipitation,miroc_es2l
historical,precipitation,mpi_esm1_2_hr
historical,precipitation,mpi_esm1_2_lr
historical,precipitation,mri_esm2_0
historical,precipitation,nesm3
historical,precipitation,norcpm1
historical,precipitation,noresm2_mm
historical,precipitation,sam0_unicon
historical,precipitation,taiesm1
historical,precipitation,ukesm1_0_ll
historical,daily_maximum_near_surface_air_temperature,access_cm2
historical,daily_maximum_near_surface_air_temperature,access_esm1_5
historical,daily_maximum_near_surface_air_temperature,awi_cm_1_1_mr
historical,daily_maximum_near_surface_air_temperature,awi_esm_1_1_lr
historical,daily_maximum_near_surface_air_temperature,bcc_esm1
historical,daily_maximum_near_surface_air_temperature,canesm5
historical,daily_maximum_near_surface_air_temperature,cmcc_esm2
historical,daily_maximum_near_surface_air_temperature,cnrm_cm6_1
historical,daily_maximum_near_surface_air_temperature,cnrm_cm6_1_hr
historical,daily_maximum_near_surface_air_temperature,cnrm_esm2_1
historical,daily_maximum_near_surface_air_temperature,ec_earth3_aerchem
historical,daily_maximum_near_surface_air_temperature,ec_earth3_cc
historical,daily_maximum_near_surface_air_temperature,ec_earth3_veg_lr
historical,daily_maximum_near_surface_air_temperature,fgoals_f3_l
historical,daily_maximum_near_surface_air_temperature,fgoals_g3
historical,daily_maximum_near_surface_air_temperature,gfdl_esm4
historical,daily_maximum_near_surface_air_temperature,inm_cm4_8
historical,daily_maximum_near_surface_air_temperature,inm_cm5_0
historical,daily_maximum_near_surface_air_temperature,ipsl_cm6a_lr
historical,daily_maximum_near_surface_air_temperature,kace_1_0_g
historical,daily_maximum_near_surface_air_temperature,kiost_esm
historical,daily_maximum_near_surface_air_temperature,miroc6
historical,daily_maximum_near_surface_air_temperature,miroc_es2l
historical,daily_maximum_near_surface_air_temperature,mpi_esm1_2_hr
historical,daily_maximum_near_surface_air_temperature,mpi_esm1_2_lr
historical,daily_maximum_near_surface_air_temperature,mri_esm2_0
historical,daily_maximum_near_surface_air_temperature,nesm3
historical,daily_maximum_near_surface_air_temperature,norcpm1
historical,daily_maximum_near_surface_air_temperature,noresm2_mm
historical,daily_maximum_near_surface_air_temperature,sam0_unicon
historical,daily_maximum_near_surface_air_temperature,ukesm1_0_ll
historical,daily_minimum_near_surface_air_temperature,access_cm2
historical,daily_minimum_near_surface_air_temperature,access_esm1_5
historical,daily_minimum_near_surface_air_temperature,awi_cm_1_1_mr
historical,daily_minimum_near_surface_air_temperature,awi_esm_1_1_lr
historical,daily_minimum_near_surface_air_temperature,bcc_csm2_mr
historical,daily_minimum_near_surface_air_temperature,bcc_esm1
historical,daily_minimum_near_surface_air_temperature,canesm5
historical,daily_minimum_near_surface_air_temperature,cmcc_esm2
historical,daily_minimum_near_surface_air_temperature,cnrm_cm6_1
historical,daily_minimum_near_surface_air_temperature,cnrm_cm6_1_hr
historical,daily_minimum_near_surface_air_temperature,cnrm_esm2_1
historical,daily_minimum_near_surface_air_temperature,ec_earth3_aerchem
historical,daily_minimum_near_surface_air_temperature,ec_earth3_cc
historical,daily_minimum_near_surface_air_temperature,ec_earth3_veg_lr
historical,daily_minimum_near_surface_air_temperature,fgoals_f3_l
historical,daily_minimum_near_surface_air_temperature,fgoals_g3
historical,daily_minimum_near_surface_air_temperature,gfdl_esm4
historical,daily_minimum_near_surface_air_temperature,hadgem3_gc31_ll
historical,daily_minimum_near_surface_air_temperature,hadgem3_gc31_mm
historical,daily_minimum_near_surface_air_temperature,inm_cm4_8
historical,daily_minimum_near_surface_air_temperature,inm_cm5_0
historical,daily_minimum_near_surface_air_temperature,ipsl_cm6a_lr
historical,daily_minimum_near_surface_air_temperature,kace_1_0_g
historical,daily_minimum_near_surface_air_temperature,kiost_esm
historical,daily_minimum_near_surface_air_temperature,miroc6
historical,daily_minimum_near_surface_air_temperature,miroc_es2l
historical,daily_minimum_near_surface_air_temperature,mpi_esm1_2_hr
historical,daily_minimum_near_surface_air_temperature,mpi_esm1_2_lr
historical,daily_minimum_near_surface_air_temperature,mri_esm2_0
historical,daily_minimum_near_surface_air_temperature,nesm3
historical,daily_minimum_near_surface_air_temperature,norcpm1
historical,daily_minimum_near_surface_air_temperature,noresm2_mm
historical,daily_minimum_near_surface_air_temperature,sam0_unicon
historical,daily_minimum_near_surface_air_temperature,ukesm1_0_ll
historical,near_surface_air_temperature,access_cm2
historical,near_surface_air_temperature,access_esm1_5
historical,near_surface_air_temperature,awi_cm_1_1_mr
historical,near_surface_air_temperature,awi_esm_1_1_lr
historical,near_surface_air_temperature,bcc_csm2_mr
historical,near_surface_air_temperature,bcc_esm1
historical,near_surface_air_temperature,canesm5
historical,near_surface_air_temperature,cesm2
historical,near_surface_air_temperature,cesm2_fv2
historical,near_surface_air_temperature,cesm2_waccm
historical,near_surface_air_temperature,cesm2_waccm_fv2
historical,near_surface_air_temperature,cmcc_cm2_hr4
historical,near_surface_air_temperature,cmcc_cm2_sr5
historical,near_surface_air_temperature,cmcc_esm2
historical,near_surface_air_temperature,cnrm_cm6_1
historical,near_surface_air_temperature,cnrm_cm6_1_hr
historical,near_surface_air_temperature,cnrm_esm2_1
historical,near_surface_air_temperature,ec_earth3_aerchem
historical,near_surface_air_temperature,ec_earth3_cc
historical,near_surface_air_temperature,fgoals_f3_l
historical,near_surface_air_temperature,fgoals_g3
historical,near_surface_air_temperature,gfdl_esm4
historical,near_surface_air_temperature,hadgem3_gc31_ll
historical,near_surface_air_temperature,hadgem3_gc31_mm
historical,near_surface_air_temperature,iitm_esm
historical,near_surface_air_temperature,inm_cm4_8
historical,near_surface_air_temperature,inm_cm5_0
historical,near_surface_air_temperature,ipsl_cm5a2_inca
historical,near_surface_air_temperature,ipsl_cm6a_lr
historical,near_surface_air_temperature,kace_1_0_g
historical,near_surface_air_temperature,kiost_esm
historical,near_surface_air_temperature,miroc6
historical,near_surface_air_temperature,miroc_es2l
historical,near_surface_air_temperature,mpi_esm1_2_hr
historical,near_surface_air_temperature,mpi_esm1_2_lr
historical,near_surface_air_temperature,mri_esm2_0
historical,near_surface_air_temperature,nesm3
historical,near_surface_air_temperature,norcpm1
historical,near_surface_air_temperature,noresm2_mm
historical,near_surface_air_temperature,taiesm1
historical,near_surface_air_temperature,ukesm1_0_ll
historical,near_surface_wind_speed,access_cm2
historical,near_surface_wind_speed,access_esm1_5
historical,near_surface_wind_speed,awi_esm_1_1_lr
historical,near_surface_wind_speed,bcc_csm2_mr
historical,near_surface_wind_speed,bcc_esm1
historical,near_surface_wind_speed,cesm2
historical,near_surface_wind_speed,cesm2_fv2
historical,near_surface_wind_speed,cesm2_waccm
historical,near_surface_wind_speed,cesm2_waccm_fv2
historical,near_surface_wind_speed,cmcc_cm2_hr4
historical,near_surface_wind_speed,cmcc_cm2_sr5
historical,near_surface_wind_speed,cmcc_esm2
historical,near_surface_wind_speed,cnrm_cm6_1
historical,near_surface_wind_speed,cnrm_cm6_1_hr
historical,near_surface_wind_speed,cnrm_esm2_1
historical,near_surface_wind_speed,ec_earth3_aerchem
historical,near_surface_wind_speed,ec_earth3_cc
historical,near_surface_wind_speed,ec_earth3_veg_lr
historical,near_surface_wind_speed,fgoals_f3_l
historical,near_surface_wind_speed,fgoals_g3
historical,near_surface_wind_speed,gfdl_esm4
historical,near_surface_wind_speed,hadgem3_gc31_ll
historical,near_surface_wind_speed,hadgem3_gc31_mm
historical,near_surface_wind_speed,iitm_esm
historical,near_surface_wind_speed,inm_cm4_8
historical,near_surface_wind_speed,inm_cm5_0
historical,near_surface_wind_speed,ipsl_cm5a2_inca
historical,near_surface_wind_speed,ipsl_cm6a_lr
historical,near_surface_wind_speed,kace_1_0_g
historical,near_surface_wind_speed,kiost_esm
historical,near_surface_wind_speed,miroc6
historical,near_surface_wind_speed,miroc_es2l
historical,near_surface_wind_speed,mpi_esm1_2_hr
historical,near_surface_wind_speed,mpi_esm1_2_lr
historical,near_surface_wind_speed,mri_esm2_0
historical,near_surface_wind_speed,norcpm1
historical,near_surface_wind_speed,noresm2_lm
historical,near_surface_wind_speed,noresm2_mm
historical,near_surface_wind_speed,sam0_unicon
historical,near_surface_wind_speed,taiesm1
historical,near_surface_wind_speed,ukesm1_0_ll
historical,sea_level_pressure,access_cm2
historical,sea_level_pressure,access_esm1_5
historical,sea_level_pressure,awi_esm_1_1_lr
historical,sea_level_pressure,bcc_csm2_mr
historical,sea_level_pressure,bcc_esm1
historical,sea_level_pressure,canesm5
historical,sea_level_pressure,cesm2
historical,sea_level_pressure,cesm2_fv2
historical,sea_level_pressure,cesm2_waccm
historical,sea_level_pressure,cesm2_waccm_fv2
historical,sea_level_pressure,cmcc_cm2_hr4
historical,sea_level_pressure,cmcc_cm2_sr5
historical,sea_level_pressure,cmcc_esm2
historical,sea_level_pressure,cnrm_cm6_1_hr
historical,sea_level_pressure,cnrm_esm2_1
historical,sea_level_pressure,ec_earth3_aerchem
historical,sea_level_pressure,ec_earth3_cc
historical,sea_level_pressure,ec_earth3_veg_lr
historical,sea_level_pressure,fgoals_f3_l
historical,sea_level_pressure,fgoals_g3
historical,sea_level_pressure,gfdl_esm4
historical,sea_level_pressure,hadgem3_gc31_ll
historical,sea_level_pressure,hadgem3_gc31_mm
historical,sea_level_pressure,inm_cm4_8
historical,sea_level_pressure,inm_cm5_0
historical,sea_level_pressure,ipsl_cm5a2_inca
historical,sea_level_pressure,kace_1_0_g
historical,sea_level_pressure,kiost_esm
historical,sea_level_pressure,miroc6
historical,sea_level_pressure,miroc_es2l
historical,sea_level_pressure,mpi_esm1_2_hr
historical,sea_level_pressure,mpi_esm1_2_lr
historical,sea_level_pressure,mri_esm2_0
historical,sea_level_pressure,nesm3
historical,sea_level_pressure,norcpm1
