hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,20.195,0.5719
5,21.894,0.6200
6,26.313,0.7451
7,34.982,0.9906
8,49.696,1.4072
9,72.508,2.0532
10,106.200,3.0073
11,156.920,4.4435
12,247.084,6.9966
13,391.483,11.0855
14,580.473,16.4371
15,804.125,22.7703
16,1056.366,29.9129
17,1332.326,37.7272
18,1627.749,46.0927
19,1938.672,54.8970
20,2260.998,64.0242
21,2589.611,73.3295
22,2914.424,82.5272
23,3221.861,91.2328
24,3502.360,99.1756
25,3750.645,106.2063
26,3963.014,112.2199
27,4136.604,117.1354
28,4268.796,120.8786
29,4356.766,123.3697
30,4396.482,124.4943
31,4381.148,124.0601
32,4308.133,121.9925
33,4198.802,118.8966
34,4075.632,115.4088
35,3942.997,111.6531
36,3803.713,107.7090
37,3659.937,103.6377
38,3513.336,99.4864
39,3365.382,95.2968
40,3217.463,91.1082
41,3070.857,86.9569
42,2926.827,82.8784
43,2786.857,78.9149
44,2652.706,75.1161
45,2525.125,71.5035
46,2403.789,68.0676
47,2288.382,64.7997
