datetime,Q_sim_CFS,Q_obs_CFS
1970-01-01 01:00,17.3533,
1970-01-01 02:00,17.3232,
1970-01-01 03:00,17.2931,
1970-01-01 04:00,17.2630,
1970-01-01 05:00,17.2330,
1970-01-01 06:00,17.2030,
1970-01-01 07:00,17.1730,
1970-01-01 08:00,17.1431,
1970-01-01 09:00,17.1133,
1970-01-01 10:00,17.0834,
1970-01-01 11:00,17.0537,
1970-01-01 12:00,17.0239,
1970-01-01 13:00,16.9942,
1970-01-01 14:00,16.9646,
1970-01-01 15:00,16.9350,
1970-01-01 16:00,16.9054,
1970-01-01 17:00,16.8759,
1970-01-01 18:00,16.8464,
1970-01-01 19:00,16.8169,
1970-01-01 20:00,16.7875,
1970-01-01 21:00,16.7582,
1970-01-01 22:00,16.7288,
1970-01-01 23:00,16.6996,
1970-01-02 00:00,16.6703,
1970-01-02 01:00,16.6411,
1970-01-02 02:00,9.6092,
1970-01-02 03:00,16.6120,
1970-01-02 04:00,16.5829,
1970-01-02 05:00,16.5538,
1970-01-02 06:00,16.5247,
1970-01-02 07:00,16.4958,
1970-01-02 08:00,16.4668,
1970-01-02 09:00,16.4379,
1970-01-02 10:00,16.4090,
1970-01-02 11:00,16.3802,
1970-01-02 12:00,16.3514,
1970-01-02 13:00,16.3227,
1970-01-02 14:00,16.2939,
1970-01-02 15:00,16.2653,
1970-01-02 16:00,16.2367,
1970-01-02 17:00,16.2081,
1970-01-02 18:00,16.1795,
1970-01-02 19:00,16.1510,
1970-01-02 20:00,16.1226,
1970-01-02 21:00,16.0941,
1970-01-02 22:00,16.0658,
1970-01-02 23:00,16.0375,
1970-01-03 00:00,16.0091,
1970-01-03 01:00,15.9809,
1970-01-03 02:00,15.9527,
1970-01-03 03:00,15.9245,
1970-01-03 04:00,15.8964,
1970-01-03 05:00,15.8683,
1970-01-03 06:00,15.8402,
1970-01-03 07:00,15.8122,
1970-01-03 08:00,15.7843,
1970-01-03 09:00,15.7563,
1970-01-03 10:00,15.7285,
1970-01-03 11:00,15.7006,
1970-01-03 12:00,15.6728,
1970-01-03 13:00,15.6450,
1970-01-03 14:00,15.6173,
1970-01-03 15:00,15.5896,
1970-01-03 16:00,15.5620,
1970-01-03 17:00,15.5344,
1970-01-03 18:00,15.5068,
1970-01-03 19:00,15.4793,
1970-01-03 20:00,15.4518,
1970-01-03 21:00,15.4244,
1970-01-03 22:00,15.3970,
1970-01-03 23:00,15.3696,
