,ESTACIONES,PROVINCIA,ELEVACIÓN,Lon,Lat,POINT_X,POINT_Y,Z,Nª_años,Porcentaje,Nº_años,Nº_meses,Año_inici,Año_fin,Pmed,Pmax,P25,P50,P95,TRMM_mean
104001,CUESTA DE PIEDRA,CHIRIQUI,1000,-82.62472222,8.677222222,321241.7987,959549.5257, ,17,1.716193656,41,488,1981,2021,15.71907188,221.6,0,4.8,65.115,9.441339272
106004,MACANO ARRIBA,CHIRIQUI,520,-82.58638889,8.612222222,325430.5034,952342.9544, ,23,2.270450751,41,488,1981,2021,13.40949778,230.3,0,4.1,54.7,9.441339272
108001,FINCA LERIDA,CHIRIQUI,1700,-82.48333333,8.8,336854.8671,973063.9888, ,34,0.848080134,41,490,1981,2021,7.523120959,241.7,0,1.5,36,7.664724243
108004,CALDERA(PUEBLO NUEVO),CHIRIQUI,365,-82.38194444,8.653055556,347948.8479,956771.244, ,37,0.667779633,41,492,1981,2021,10.41855462,272,0,0,55.03,8.819274235
108006,POTRERILLO ARRIBA,CHIRIQUI,930,-82.48972222,8.685,336101.7581,960348.7469, ,27,2.898163606,41,486,1981,2021,9.716690737,190.5,0,0,51.1,8.819274235
108009,LOS PALOMOS,CHIRIQUI,420,-82.46666667,8.583333333,338595.6348,949095.5546, ,33,0.661101836,41,492,1981,2021,11.76668459,304.8,0,0.9,56.425,8.819274235
108013,ANGOSTURA DE COCHEA,CHIRIQUI,210,-82.38333333,8.566666667,347761.467,947218.4044, ,32,0.78130217,41,491,1981,2021,11.96203392,258.3,0,0,59.915,8.819274235
108014,VELADERO GUALACA,CHIRIQUI,45,-82.28666667,8.430555556,358351.6475,932130.1467, ,14,0.914858097,41,492,1981,2021,9.387439008,264,0,0.5,49.015,8.25408763
108015,CERMENO,CHIRIQUI,170,-82.43277778,8.520277778,342299.8747,942108.2861, ,35,0.260434057,41,492,1981,2021,8.892012587,157,0,0,49.025,8.819274235
108017,LOS NARANJOS,CHIRIQUI,1200,-82.43138889,8.779166667,342560.3663,970737.8085, ,28,17.91652755,34,405,1981,2014,6.68187439,184,0,0.4,35.6,7.664724243
108018,PAJA DE SOMBRERO,CHIRIQUI,388,-82.32083333,8.685277778,354686.273,960310.6214, ,25,2.16360601,41,490,1981,2021,9.1101017,326.2,0,0,52.5,8.819274235
108023,DAVID,CHIRIQUI,27,-82.42833333,8.396666667,342739.0185,928436.674, ,29,1.388981636,41,490,1981,2021,7.184952936,211.2,0,0,39.8,8.25408763
108042,FORTUNA (CASA CONTROL),CHIRIQUI,1062,-82.26166667,8.679166667,361194.3826,959612.6883, ,6,66.39288159,11,131,1990,2000,9.028665988,337.2,0,0.3,48.565,8.819274235
108043,GUALACA II,CHIRIQUI,100,-82.30083333,8.522222222,356825.7201,942271.9591, ,8,9.381910077,26,289,1996,2021,11.55712294,243.3,0,0.8,57.2,8.819274235
