,sfincs_depth_mean,sfincs_depth_median,sfincs_area_km2,sfincs_manning_mean,hecras_depth_mean,hecras_depth_median,hecras_area_km2,hecras_manning_mean
0,0.9835179,0.801281,0.52045,0.05270145773901613,1.1141618,0.9572983,0.651675,0.05568227320563709
1,1.039122,0.9189224,0.5366,0.06190724736129449,1.185237,0.99505997,0.6398499999999999,0.06513639618418171
2,1.0351028,0.898674,0.529725,0.05272360456664436,1.1595048,1.0305977,0.5702499999999999,0.05431041027843181
3,1.0742681,0.9725189,0.5475249999999999,0.04669410499451106,1.2538067,0.96904945,0.71,0.04977104990072818
4,1.070007,0.9730377,0.550375,0.0662918293646978,1.2665687,0.9651413,0.758775,0.07061775416216512
5,1.0695174,0.96479034,0.542275,0.06198598997922001,1.2429469,1.0154495,0.644475,0.0667058449633616
6,1.0657272,0.95819473,0.543025,0.043622120320326696,1.229824,1.0159607,0.6374,0.04783307418987855
7,1.0370972,0.9189625,0.53765,0.05127074180840939,1.1921093,0.98869324,0.652775,0.054121319390436975
8,1.015361,0.8743553,0.5263249999999999,0.036516550486581326,1.1506808,1.011179,0.5938,0.03760824186076018
9,1.0814413,0.939621,0.5234,0.06437591520407512,1.2912472,1.1677265,0.78225,0.06916848652081242
10,1.0106417,0.8445015,0.53425,0.07388274453220164,1.1394202,0.9444275,0.6836249999999999,0.07805016727711526
11,1.0464264,0.9533539,0.549075,0.07063013203254373,1.2596319,0.95423317,0.8116,0.07722343735595254
12,1.0335878,0.92303467,0.54175,0.06513578169305816,1.1935954,0.9365692,0.733375,0.0713164759501869
13,1.0257616,0.89907074,0.53225,0.040621158333832785,1.1681713,1.0022182,0.62235,0.04332128824639948
14,1.0604355,0.91474915,0.524075,0.055923138069801585,1.1995423,1.0396194,0.578275,0.0583345163820626
15,1.0323474,0.9196663,0.5389999999999999,0.06479501342297539,1.1866459,0.9533272,0.6921999999999999,0.07013190955542979
16,1.0471419,0.9336281,0.5432,0.0727991635450139,1.2272784,0.9330826,0.752525,0.08031171296430648
17,0.9790406,0.7808571,0.5156499999999999,0.04470534753083158,1.0986971,0.95941544,0.6278,0.04696717883172764
18,1.0306756,0.9068527,0.534225,0.06090476632342543,1.1852951,1.0348129,0.594625,0.06208469200375823
19,1.0396644,0.9320259,0.5396,0.06316509191771316,1.2150496,0.9379883,0.758475,0.06699520175207775
20,1.0506634,0.9288788,0.53635,0.048952511460159845,1.2154347,1.0258408,0.615475,0.05274061459621274
21,1.0367036,0.9134598,0.534575,0.06541447849312884,1.1976309,1.0210953,0.6110249999999999,0.06867934850724139
22,0.9697468,0.7535057,0.5203,0.060209143636705716,1.0990725,0.9467163,0.666125,0.06287383709607688
23,1.0308194,0.90789795,0.532025,0.0582926986485725,1.1724721,0.9524994,0.6825249999999999,0.06044411178640216
24,1.1043829,0.9969578,0.5518,0.06475796975189677,1.2998856,1.029274,0.65465,0.06994592822827299
25,0.98584497,0.8136368,0.517525,0.057916802051525336,1.1148925,0.9474106,0.66245,0.06062247264087056
26,1.0872319,0.991827,0.5539,0.04765089812919294,1.2842615,0.985939,0.7278249999999999,0.05042422883075942
27,1.0577447,0.95023537,0.5388499999999999,0.07565925692073432,1.2239547,1.0252304,0.6270249999999999,0.0776932890043229
28,1.0373089,0.9234009,0.538625,0.05404642911367557,1.203366,0.9302101,0.7496999999999999,0.05762764921726459
30,1.0541468,0.95246124,0.5431,0.03927997440210409,1.2366598,0.9461632,0.75955,0.04164959208565181
31,1.0841954,0.98955536,0.556975,0.04756870096877162,1.3016425,0.97828674,0.782025,0.05214663555532664
32,1.0623976,0.9685974,0.548275,0.046351894364098235,1.2543763,0.96495056,0.7668499999999999,0.04974984800835169
33,1.0689692,0.96687317,0.552775,0.06444935488174393,1.2679129,0.95224,0.7616499999999999,0.0661181629389801
34,1.0627626,0.96329117,0.5466,0.07102134524775945,1.2568791,0.96165466,0.765675,0.07620049244323415
35,1.0555364,0.9498062,0.540575,0.04179961615401894,1.2251996,1.0176086,0.640525,0.043752902433227235
36,1.0258926,0.9072418,0.53615,0.03810703723054606,1.1882229,0.9262543,0.744875,0.04153168984120962
37,1.018701,0.8884964,0.53525,0.06940929814079022,1.1749785,0.9285393,0.7253,0.07440350790512065
38,1.0718948,0.9837227,0.5550999999999999,0.05794474795886437,1.2586417,0.9792671,0.76105,0.06023862377449366
