,Manning,Descripción,Landuse,N
0,1,Trees,1,"0.10, 0.12, 0.15, 0.16, 0.18, 0.20, 0.25"
1,2,Dense vegetation,2,"0.06, 0.08, 0.09, 0.10, 0.11, 0.12, 0.14"
2,4,Urban vegetation,4,"0.05, 0.06, 0.07, 0.08, 0.10, 0.12, 0.13"
3,5,Infrastructure,5,"0.011, 0.012, 0.013, 0.015, 0.017, 0.018, 0.020"
4,6,Sparse vegetation,6,"0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08"
5,7,Residential,7,"0.010, 0.011, 0.012, 0.015, 0.017, 0.018, 0.020"
6,8,Industrial,8,"0.013, 0.015, 0.016, 0.018, 0.020, 0.022, 0.024"
7,9,River,9,"0.025, 0.030, 0.035, 0.040, 0.045, 0.050, 0.060"
8,10,Brushland,10,"0.04, 0.05, 0.06, 0.08, 0.09, 0.10, 0.12"
9,0,NoData,0,-999
